CaseStudy_ID,Question_ID,Answer,Sample_ID,Model_name,Model_return,Info_check,Report_name,Authors,Google Folder,Data,Task Category
Kidney_pathway_1,1,B,Kidney_pathway_1B,gpt-4o,E,No,Kidney_pathway_1B.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,gemini-2.0-flash,C,Yes,Kidney_pathway_1B.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,claude-3-7-sonnet-20250219,E,No,Kidney_pathway_1B.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,gpt-4o,E,No,Kidney_pathway_1B.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,gemini-2.0-flash,E,No,Kidney_pathway_1B.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,claude-3-7-sonnet-20250219,E,No,Kidney_pathway_1B.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,gpt-4o,C,Yes,Kidney_pathway_1B.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,gemini-2.0-flash,E,Yes,Kidney_pathway_1B.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,claude-3-7-sonnet-20250219,E,No,Kidney_pathway_1B.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1A,gpt-4o,B,Yes,Kidney_pathway_1A.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1A,gemini-2.0-flash,B,Yes,Kidney_pathway_1A.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1A,claude-3-7-sonnet-20250219,B,Yes,Kidney_pathway_1A.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1A,gpt-4o,B,Yes,Kidney_pathway_1A.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1A,gemini-2.0-flash,B,Yes,Kidney_pathway_1A.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1A,claude-3-7-sonnet-20250219,B,Yes,Kidney_pathway_1A.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1A,gpt-4o,B,Yes,Kidney_pathway_1A.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1A,gemini-2.0-flash,B,Yes,Kidney_pathway_1A.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1A,claude-3-7-sonnet-20250219,B,Yes,Kidney_pathway_1A.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1B,gpt-4o,E,No,Kidney_pathway_1B.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1B,gemini-2.0-flash,E,No,Kidney_pathway_1B.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1B,claude-3-7-sonnet-20250219,E,No,Kidney_pathway_1B.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1B,gpt-4o,B,Yes,Kidney_pathway_1B.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1B,gemini-2.0-flash,B,Yes,Kidney_pathway_1B.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1B,claude-3-7-sonnet-20250219,B,Yes,Kidney_pathway_1B.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1B,gpt-4o,B,No,Kidney_pathway_1B.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1B,gemini-2.0-flash,E,No,Kidney_pathway_1B.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1B,claude-3-7-sonnet-20250219,B,No,Kidney_pathway_1B.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1A,gpt-4o,E,No,Kidney_pathway_1A.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1A,gemini-2.0-flash,E,Yes,Kidney_pathway_1A.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1A,claude-3-7-sonnet-20250219,E,No,Kidney_pathway_1A.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1A,gpt-4o,B,Yes,Kidney_pathway_1A.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1A,gemini-2.0-flash,B,Yes,Kidney_pathway_1A.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1A,claude-3-7-sonnet-20250219,B,Yes,Kidney_pathway_1A.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1A,gpt-4o,B,No,Kidney_pathway_1A.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1A,gemini-2.0-flash,B,Yes,Kidney_pathway_1A.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1A,claude-3-7-sonnet-20250219,B,No,Kidney_pathway_1A.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1B,gpt-4o,C,Yes,Kidney_pathway_1B.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1B,gemini-2.0-flash,B,Yes,Kidney_pathway_1B.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1B,claude-3-7-sonnet-20250219,C,Yes,Kidney_pathway_1B.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1B,gpt-4o,C,Yes,Kidney_pathway_1B.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1B,gemini-2.0-flash,A,Yes,Kidney_pathway_1B.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1B,claude-3-7-sonnet-20250219,C,Yes,Kidney_pathway_1B.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1B,gpt-4o,A,Yes,Kidney_pathway_1B.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1B,gemini-2.0-flash,A,Yes,Kidney_pathway_1B.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1B,claude-3-7-sonnet-20250219,A,Yes,Kidney_pathway_1B.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1A,gpt-4o,E,Yes,Kidney_pathway_1A.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1A,gemini-2.0-flash,E,Yes,Kidney_pathway_1A.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1A,claude-3-7-sonnet-20250219,E,Yes,Kidney_pathway_1A.gpt-4o.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1A,gpt-4o,E,Yes,Kidney_pathway_1A.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1A,gemini-2.0-flash,E,Yes,Kidney_pathway_1A.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1A,claude-3-7-sonnet-20250219,E,Yes,Kidney_pathway_1A.gemini-2.0-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1A,gpt-4o,E,Yes,Kidney_pathway_1A.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1A,gemini-2.0-flash,E,Yes,Kidney_pathway_1A.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1A,claude-3-7-sonnet-20250219,E,Yes,Kidney_pathway_1A.claude-3-7-sonnet-20250219.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,gpt-4o,D,Yes,Kidney_DE_1.gpt-4o.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,gemini-2.0-flash,A,Yes,Kidney_DE_1.gpt-4o.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,claude-3-7-sonnet-20250219,A,Yes,Kidney_DE_1.gpt-4o.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,gpt-4o,A,Yes,Kidney_DE_1.gemini-2.0-flash.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,gemini-2.0-flash,A,Yes,Kidney_DE_1.gemini-2.0-flash.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,claude-3-7-sonnet-20250219,D,Yes,Kidney_DE_1.gemini-2.0-flash.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,gpt-4o,D,Yes,Kidney_DE_1.claude-3-7-sonnet-20250219.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,gemini-2.0-flash,D,Yes,Kidney_DE_1.claude-3-7-sonnet-20250219.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,claude-3-7-sonnet-20250219,D,Yes,Kidney_DE_1.claude-3-7-sonnet-20250219.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,gpt-4o,B,Yes,Kidney_DE_1.gpt-4o.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,gemini-2.0-flash,B,Yes,Kidney_DE_1.gpt-4o.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,claude-3-7-sonnet-20250219,B,No,Kidney_DE_1.gpt-4o.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,gpt-4o,B,Yes,Kidney_DE_1.gemini-2.0-flash.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,gemini-2.0-flash,B,Yes,Kidney_DE_1.gemini-2.0-flash.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,claude-3-7-sonnet-20250219,B,Yes,Kidney_DE_1.gemini-2.0-flash.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,gpt-4o,B,Yes,Kidney_DE_1.claude-3-7-sonnet-20250219.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,gemini-2.0-flash,B,Yes,Kidney_DE_1.claude-3-7-sonnet-20250219.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,2,B,Kidney_DE_1,claude-3-7-sonnet-20250219,B,No,Kidney_DE_1.claude-3-7-sonnet-20250219.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,3,B,Kidney_DE_1,gpt-4o,B,Yes,Kidney_DE_1.gpt-4o.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,3,B,Kidney_DE_1,gemini-2.0-flash,B,Yes,Kidney_DE_1.gpt-4o.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,3,B,Kidney_DE_1,claude-3-7-sonnet-20250219,B,Yes,Kidney_DE_1.gpt-4o.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,3,B,Kidney_DE_1,gpt-4o,B,Yes,Kidney_DE_1.gemini-2.0-flash.txt,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,3,B,Kidney_DE_1,gemini-2.0-flash,B,Yes,Kidney_DE_1.gemini-2.0-flash.txt,DK,DE,Kidney,Descriptive - information retrival
