CaseStudy_ID,Question_ID,Answer,Sample_ID,Model_name,Model_return,Repeat_number,Authors,Google Folder,Data,Task Category
Kidney_pathway_1,1,B,Kidney_pathway_1B,gemini-2.0-flash,B,1,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,gemini-2.0-flash,B,2,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,gemini-2.0-flash,B,3,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,gemini-2.0-flash,B,4,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,gemini-2.0-flash,B,5,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1A,gemini-2.0-flash,B,1,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1A,gemini-2.0-flash,B,2,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1A,gemini-2.0-flash,B,3,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1A,gemini-2.0-flash,B,4,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1A,gemini-2.0-flash,B,5,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1B,gemini-2.0-flash,A,1,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1B,gemini-2.0-flash,A,2,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1B,gemini-2.0-flash,A,3,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1B,gemini-2.0-flash,A,4,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1B,gemini-2.0-flash,A,5,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1A,gemini-2.0-flash,A,1,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1A,gemini-2.0-flash,A,2,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1A,gemini-2.0-flash,A,3,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1A,gemini-2.0-flash,A,4,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,2,B,Kidney_pathway_1A,gemini-2.0-flash,A,5,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1B,gemini-2.0-flash,A,1,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1B,gemini-2.0-flash,A,2,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1B,gemini-2.0-flash,A,3,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1B,gemini-2.0-flash,A,4,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1B,gemini-2.0-flash,B,5,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1A,gemini-2.0-flash,A,1,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1A,gemini-2.0-flash,A,2,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1A,gemini-2.0-flash,A,3,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1A,gemini-2.0-flash,A,4,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,3,A,Kidney_pathway_1A,gemini-2.0-flash,A,5,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,gemini-2.0-flash,D,1,DK,DE,Kidney,Descriptive - information retrival
Kidney_DE_1,1,D,Kidney_DE_1,gemini-2.0-flash,D,2,DK,DE,Kidney,Descriptive - information retrival
