CaseStudy_ID,Question_ID,Answer,Sample_ID,Model_name,Model_return,Info_check,Report_name,Authors,Google.Folder,Data,Task.Category
Kidney_pathway_1,1,B,Kidney_pathway_1B,o1-2024-12-17,E,No,Kidney_pathway_1B.o1-2024-12-17.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,gpt-5.6-sol,C,No,Kidney_pathway_1B.o1-2024-12-17.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,claude-opus-5,B,No,Kidney_pathway_1B.o1-2024-12-17.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,o1-2024-12-17,E,No,Kidney_pathway_1B.gpt-5.6-sol.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,gpt-5.6-sol,E,No,Kidney_pathway_1B.gpt-5.6-sol.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,claude-opus-5,E,No,Kidney_pathway_1B.gpt-5.6-sol.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,o1-2024-12-17,B,Yes,Kidney_pathway_1B.gemini-3.6-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,gpt-5.6-sol,B,Yes,Kidney_pathway_1B.gemini-3.6-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,claude-opus-5,B,Yes,Kidney_pathway_1B.gemini-3.6-flash.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,o1-2024-12-17,E,No,Kidney_pathway_1B.claude-opus-5.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,gpt-5.6-sol,C,No,Kidney_pathway_1B.claude-opus-5.txt,DK,Pathway,Kidney,Descriptive - information retrival
Kidney_pathway_1,1,B,Kidney_pathway_1B,claude-opus-5,B,No,Kidney_pathway_1B.claude-opus-5.txt,DK,Pathway,Kidney,Descriptive - information retrival
