"","model","case_id","avg_sentence_length","total_sentences","avg_word_length","total_words","unique_tokens","ttr"
"1","claude-3-7-sonnet-20250219","Breast_Cancer_spatialCCI_3A",19.3333333333333,36,6.22392211404729,719,261,0.363004172461752
"2","claude-3-7-sonnet-20250219","Breast_Cancer_spatialCCI_3B",25.0357142857143,28,6.46207865168539,712,265,0.372191011235955
"3","claude-3-7-sonnet-20250219","Breast_Cancer_spatialdomains_4A",20.1785714285714,28,6.41228070175439,570,271,0.475438596491228
"4","claude-3-7-sonnet-20250219","Breast_Cancer_spatialdomains_4B",22.9047619047619,21,6.5974025974026,462,235,0.508658008658009
"5","claude-3-7-sonnet-20250219","Breast_Cancer_spatiallocations_1A",21.52,25,5.86213235294118,544,225,0.413602941176471
"6","claude-3-7-sonnet-20250219","Breast_Cancer_spatiallocations_1B",24.875,16,6.20289855072464,414,201,0.485507246376812
"7","claude-3-7-sonnet-20250219","Breast_Cancer_umap_2A",26.6857142857143,35,5.58394160583942,959,312,0.32533889468196
"8","claude-3-7-sonnet-20250219","Breast_Cancer_umap_2B",23.3461538461538,26,6.33165829145729,597,254,0.425460636515913
"9","claude-3-7-sonnet-20250219","Covid_CCI_10A",26.25,20,6.22037037037037,540,225,0.416666666666667
"10","claude-3-7-sonnet-20250219","Covid_CCI_10B",26,17,6.22149122807018,456,222,0.486842105263158
"11","claude-3-7-sonnet-20250219","Covid_CCI_10C",21,24,5.84169884169884,518,230,0.444015444015444
"12","claude-3-7-sonnet-20250219","Covid_CCI_10D",23.6521739130435,23,6.24909747292419,554,231,0.416967509025271
"13","claude-3-7-sonnet-20250219","Covid_CCI_11A",16.7173913043478,46,6.11567164179105,804,311,0.38681592039801
"14","claude-3-7-sonnet-20250219","Covid_CCI_11B",27.1176470588235,17,6.21325051759834,483,205,0.424430641821946
"15","claude-3-7-sonnet-20250219","Covid_CCI_11C",23.5151515151515,33,6.328165374677,774,248,0.320413436692506
"16","claude-3-7-sonnet-20250219","Covid_CCI_11D",22.04,25,5.99657534246575,584,208,0.356164383561644
"17","claude-3-7-sonnet-20250219","Covid_CCI_1A",20.6428571428571,14,6.85148514851485,303,159,0.524752475247525
"18","claude-3-7-sonnet-20250219","Covid_CCI_1B",29.1578947368421,19,6.5,566,207,0.365724381625442
"19","claude-3-7-sonnet-20250219","Covid_CCI_1C",24.8333333333333,12,6.55520504731861,317,168,0.529968454258675
"20","claude-3-7-sonnet-20250219","Covid_CCI_1D",23.5,20,6.78028747433265,487,198,0.406570841889117
"21","claude-3-7-sonnet-20250219","Covid_CCI_2A",14.7884615384615,52,5.97029702970297,808,303,0.375
"22","claude-3-7-sonnet-20250219","Covid_CCI_2B",17.5769230769231,26,6.12526539278132,471,201,0.426751592356688
"23","claude-3-7-sonnet-20250219","Covid_CCI_2C",16.8518518518519,27,6.12734864300626,479,198,0.413361169102296
