"","model","case_id","avg_sentence_length","total_sentences","avg_word_length","total_words","unique_tokens","ttr"
"1","claude-opus-5","Breast_Cancer_spatialCCI_3A",33.6206896551724,58,5.36475409836066,1952,739,0.378586065573771
"2","claude-opus-5","Breast_Cancer_spatialCCI_3B",26.4090909090909,44,5.59031198686371,1218,515,0.422824302134647
"3","claude-opus-5","Breast_Cancer_spatialdomains_4A",40.1333333333333,45,5.12414965986395,1764,693,0.392857142857143
"4","claude-opus-5","Breast_Cancer_spatialdomains_4B",28.7936507936508,63,5.61065796628603,1839,739,0.401848830886351
"5","claude-opus-5","Breast_Cancer_spatiallocations_1A",41.8157894736842,38,5.10626535626536,1628,653,0.401105651105651
"6","claude-opus-5","Breast_Cancer_spatiallocations_1B",21.7105263157895,76,5.68708708708709,1665,729,0.437837837837838
"7","claude-opus-5","Breast_Cancer_umap_2A",45.2222222222222,36,4.9719800747198,1606,655,0.407845579078456
"8","claude-opus-5","Breast_Cancer_umap_2B",22.5904761904762,105,5.58178053830228,2415,883,0.365631469979296
"9","claude-opus-5","Covid_CCI_10A",33.2127659574468,47,5.38957816377171,1612,614,0.380893300248139
"10","claude-opus-5","Covid_CCI_10B",36.9375,32,5.75306479859895,1142,480,0.42031523642732
"11","claude-opus-5","Covid_CCI_10C",38.4,25,5.54302670623145,1011,433,0.428288822947577
"12","claude-opus-5","Covid_CCI_10D",35.0952380952381,21,5.68925831202046,782,372,0.475703324808184
"13","claude-opus-5","Covid_CCI_11A",18.6941176470588,85,5.5165987186954,1717,694,0.404193360512522
"14","claude-opus-5","Covid_CCI_11B",29.3095238095238,42,5.48087876322213,1229,517,0.4206672091131
"15","claude-opus-5","Covid_CCI_11C",21.9577464788732,71,5.57098765432099,1620,673,0.415432098765432
"16","claude-opus-5","Covid_CCI_11D",35.0294117647059,34,5.40795631825273,1282,522,0.407176287051482
"17","claude-opus-5","Covid_CCI_1A",20.7536231884058,69,5.60636856368564,1476,577,0.390921409214092
"18","claude-opus-5","Covid_CCI_1B",32.4651162790698,43,5.52380952380952,1554,586,0.377091377091377
"19","claude-opus-5","Covid_CCI_1C",31.6285714285714,35,5.80543382997371,1141,469,0.411042944785276
"20","claude-opus-5","Covid_CCI_1D",38.3333333333333,39,5.62678803641092,1538,539,0.350455136540962
